Parameter;Design 1
CL cruise;0.6
CD cruise;0.02
Ct0;0.000012
e;0.85
Thrust take off;0.25
S;6500
A;15
wing;1
tail;1
V ref;250.8333333
H cruise;9000
M cruise;0.775
Number of engines;2
Engine mass;4100
engine length;5
inlet area;5
spoilers/speedbrakes;1
2 wing mounted;1
4 wing mounted;0
lg not wing mounted;1
strutted;1
fowler flaps;1
variable incidence;0
fin mounted;0
lg fuselage mounted;1
turbojet/ low bypass;1
buried engines;0
ducts flat;0
piston engines;0
fuel tanks;0
starting system;1
engine mounting;2
afterburner;0
oil choice ;1
hydro choice;0
A_h;4
sweep_h;0.57
tap_h;0.4
A_v;1.5
sweep_v ;0.7
tap_v;0.65
Npas_below;261
